"RGB:0","RGB:1","RGB:2","Cell Type"
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,5
100,100,100,9
100,100,100,9
100,100,100,5
100,100,100,5
